Row ID,Year,Department Title,Payroll Department,Record Number,Job Class Title,Employment Type,Hourly or Event Rate,Projected Annual Salary,Q1 Payments,Q2 Payments,Q3 Payments,,,,,,
66756,2014,Fire (LAFD),3001,3994226672,Firefighter III,Full Time,$36.39 ,"$75,977.10 ","$26,570.82 ","$39,563.58 ","$42,340.74 ",,,,,,
76187,2014,Police (LAPD),4302,2518950940,Criminalist II,Full Time,$57.26 ,"$119,567.75 ","$33,743.91 ","$37,967.78 ","$31,556.43 ",,,,,,
37979,2013,Recreation And Parks,7901,1827716625,Principal Recreation Supervisor I,Full Time,$46.28 ,"$96,629.77 ","$21,877.19 ","$25,472.93 ","$22,150.44 ",,,,,,
47205,2013,Water And Power (DWP),,4079633051,Senior Electrical Mechanic Supervisor,Full Time,,"$143,048.88 ","$42,132.65 ","$49,702.22 ","$41,586.29 ",,,,,,
77438,2014,Police (LAPD),4301,538089523,Police Sergeant II,Full Time,$57.25 ,"$119,538.00 ","$30,456.55 ","$32,060.00 ","$30,264.88 ",,,,,,
53802,2013,Water And Power (DWP),,1878047480,Commercial Service Representative,Full Time,,"$70,386.48 ","$23,165.02 ","$21,250.52 ","$17,527.94 ",,,,,,
47976,2013,Water And Power (DWP),,1025732787,Water Utility Supervisor,Full Time,,"$118,326.96 ","$47,131.06 ","$28,691.31 ","$34,442.55 ",,,,,,
10382,2013,Fire (LAFD),3001,750912835,Firefighter III,Full Time,$35.69 ,"$74,530.41 ","$33,405.05 ","$36,304.57 ","$33,022.08 ",,,,,,
4021,2013,Building and Safety,0403,2660531163,Director of Systems,Full Time,$77.85 ,"$162,558.37 ","$36,728.58 ","$43,845.01 ","$37,262.88 ",,,,,,
100094,2014,Recreation And Parks,7903,3559856382,Recreation Aide,Part Time,$10.30 ,"$21,506.40 ",$0.00 ,$0.00 ,"$2,248.17 ",,,,,,
117505,2015,Airports (LAWA),0101,16797666,Airport Guide I,Part Time,$18.64 ,"$38,920.32 ","$9,478.05 ","$10,785.54 ","$10,566.18 ",,,,,,
117513,2015,Airports (LAWA),0101,1929903106,Airport Guide I,Part Time,$19.67 ,"$41,070.96 ","$9,314.33 ","$10,311.56 ","$10,400.08 ",,,,,,
117514,2015,Airports (LAWA),0101,2778745874,Airport Guide I,Part Time,$19.67 ,"$41,070.96 ","$9,294.91 ","$10,468.92 ","$10,046.02 ",,,,,,
21597,2013,Police (LAPD),4301,2458328585,Police Sergeant I,Full Time,$54.71 ,"$114,234.48 ","$25,645.80 ","$30,032.80 ","$27,170.00 ",,,,,,
11625,2013,Fire (LAFD),3002,747141276,Sheet Metal Worker,Full Time,$39.36 ,"$82,190.99 ","$20,425.86 ","$24,333.08 ","$21,666.25 ",,,,,,
72526,2014,Library,3501,3531699105,Senior Librarian,Full Time,$51.56 ,"$107,663.54 ","$25,940.13 ","$29,150.14 ","$24,979.94 ",,,,,,
74797,2014,Personnel,2001,1959141360,Personnel Director III,Full Time,$78.44 ,"$163,782.72 ","$40,553.52 ","$42,971.90 ","$37,729.20 ",,,,,,
83696,2014,Police (LAPD),4301,2249977195,Police Officer II,Full Time,$44.89 ,"$93,730.32 ","$24,219.49 ","$25,160.16 ","$22,853.43 ",,,,,,
68608,2014,Fire (LAFD),3002,1180563528,Senior Clerk Typist,Full Time,$30.92 ,"$64,553.13 ","$14,743.76 ","$16,547.93 ","$16,334.08 ",,,,,,
48501,2013,Water And Power (DWP),,1812935758,Chemist,Full Time,,"$120,414.96 ","$35,528.59 ","$35,812.73 ","$32,559.38 ",,,,,,
113126,2014,Water And Power (DWP),,2855453924,Electrical Mechanic,Full Time,,"$89,554.32 ",$0.00 ,$0.00 ,"$3,431.20 ",,,,,,
100957,2014,Recreation And Parks,7903,2836176895,Recreation Assistant,Part Time,$14.39 ,"$30,046.32 ",$0.00 ,$0.00 ,$460.48 ,,,,,,
117520,2015,Airports (LAWA),0101,784182504,Airport Guide I,Part Time,$20.70 ,"$43,221.60 ","$9,014.40 ","$10,055.10 ","$10,231.05 ",,,,,,
